,corcoef
AT3G14460.1,0.083034048
AT5G05990.1,0.071551971
AT5G08470.2,0.241044319
AT3G59820.3,0.054372277
AT4G09425.1,0.192761598
AT3G49880.1,0.101002191
AT3G25970.1,0.130060697
AT2G09335.1,0.121619568
AT1G58440.1,0.11217592
AT2G17540.2,0.227966336
AT5G47080.3,0.14062399
AT4G08116.1,0.203760208
AT2G15980.1,0.188397036
AT3G04985.1,0.281154036
AT1G80660.3,0.116755626
AT1G48320.1,0.11891416
AT3G02625.1,0.087700953
AT3G45680.1,0.117129438
AT5G26720.1,0.091194865
AT3G57180.1,0.091851118
AT5G32800.1,0.221143331
AT5G05435.1,0.345241916
AT1G69325.1,0.152833427
AT1G04393.1,0.362471214
AT1G19530.1,0.229636659
AT2G07215.1,0.132989471
AT2G44230.1,0.151309529
AT5G27440.1,0.129608483
AT1G42170.1,0.217803932
AT4G33770.3,0.063364206
AT3G11710.1,0.139463503
AT2G17295.1,0.15520535
AT4G28210.1,0.174717479
AT3G08465.1,0.076719757
AT3G63430.2,0.0928255
AT4G05587.1,0.098329286
AT5G48810.1,0.207262463
AT2G08895.1,0.266848285
AT4G02480.1,0.062260787
AT3G30833.1,0.201722377
AT5G25870.1,0.191873619
AT1G24140.1,0.071986614
AT1G80370.1,0.082740989
AT2G21780.1,0.217411469
AT4G23110.1,0.225922503
AT4G06510.1,0.135830707
AT5G59350.1,0.214072746
AT2G28340.1,0.178866807
AT5G43035.1,0.226196655
AT3G55940.1,0.524140605
AT1G06890.1,0.182674422
AT5G55200.1,0.142410866
AT1G38131.1,0.050723289
AT3G06650.2,0.073968636
AT3G06780.1,0.266735549
AT4G04105.1,0.132768045
AT2G04395.3,0.220059701
AT1G07853.1,0.105311268
AT1G62330.1,0.166340138
AT4G22305.2,0.294616729
AT3G30415.1,0.171406882
AT3G22136.1,0.189552111
AT3G42803.1,0.267059549
AT1G19485.2,0.258416872
AT3G08725.1,0.066764336
AT3G59640.2,0.090856895
AT1G54170.1,0.148885454
AT4G02190.1,0.134370387
AT3G11505.1,0.171852713
AT4G24615.1,0.18365783
AT1G08737.1,0.072813935
AT1G80550.1,0.209179822
AT2G06290.1,0.19803227
AT3G10113.1,0.281963014
AT4G29090.1,0.160453632
AT1G76600.1,0.162787831
AT2G18160.1,0.09517677
AT5G03775.1,0.141787763
AT3G56150.1,0.094789123
AT5G07415.1,0.14116627
AT1G01725.1,0.248827548
AT1G14770.2,0.070129033
AT4G20090.1,0.079690082
AT1G68640.1,0.059111454
AT3G17220.1,0.202798051
AT5G02980.1,0.225659258
AT2G42090.1,0.10464586
AT3G55200.1,0.474816664
AT4G24972.1,0.186079011
AT1G26210.1,0.328263336
AT3G12560.2,0.106226929
AT1G54200.1,0.110538443
AT4G00520.4,0.057632232
AT3G32275.1,0.10389262
AT2G10000.1,0.189844477
AT3G05655.1,0.093950734
AT4G07664.1,0.111695967
AT2G02100.1,0.187133685
AT4G28680.6,0.115158867
AT3G22690.2,0.097235942
AT1G05530.1,0.191755523
AT1G18630.1,0.375260401
AT2G05550.1,0.1577988
AT4G28570.1,0.202785046
AT2G31080.1,0.217798965
AT2G40160.1,0.057053654
AT5G06610.1,0.231193908
AT2G22470.1,0.101610912
AT4G07738.1,0.267494456
AT1G54280.3,0.165098774
AT3G57400.1,0.101713314
AT1G71110.1,0.097299383
AT3G52090.2,0.163523022
AT2G42750.1,0.239325055
AT4G32320.1,0.088568738
AT3G23720.1,0.198047873
AT1G57290.1,0.188239108
AT4G18940.1,0.168738372
AT1G71440.1,0.105517023
AT4G06676.2,0.12739948
AT4G20430.3,0.252143646
AT5G35600.1,0.17171104
AT4G03255.1,0.153578416
AT3G27540.1,0.23541672
AT5G35923.1,0.122003898
AT5G59380.1,0.122386338
AT3G13870.1,0.146606081
AT2G07799.1,0.104308427
AT5G16640.1,0.217926454
AT4G33560.1,0.127198982
AT3G52360.1,0.11534571
AT3G17010.1,0.135146225
AT1G58520.5,0.21845779
AT1G68825.1,0.167868282
AT1G43040.2,0.202277886
AT5G63780.2,0.215161212
AT4G07090.1,0.067685065
AT2G06667.1,0.081172988
AT4G25235.1,0.196361268
AT3G01615.1,0.11795869
AT2G32250.5,0.442184854
AT4G07250.1,0.154561195
AT4G08114.1,0.180904522
AT1G73340.1,0.087431915
AT2G46710.1,0.100428281
AT1G31640.1,0.065935447
AT2G19500.1,0.074407856
AT5G07015.1,0.131772406
AT5G50120.1,0.076959051
AT1G19920.1,0.199059845
AT4G02900.2,0.061229539
AT1G09747.1,0.115187006
AT1G77060.1,0.239282264
AT5G24460.1,0.116870922
AT4G32120.1,0.152124841
AT3G48130.1,0.216569717
AT1G42615.1,0.224712371
AT2G08765.1,0.077118955
AT1G06737.1,0.088647575
AT2G09370.1,0.188002423
AT2G43240.1,0.242166439
AT2G37680.2,0.309842802
AT2G07235.1,0.161946547
AT3G61310.1,0.153053516
AT5G06935.1,0.196814082
AT5G32572.1,0.093793267
AT4G35210.1,0.140073834
AT1G03310.2,0.262307176
AT5G13610.1,0.139623348
AT2G01660.2,0.240808466
AT5G30440.1,0.238061947
AT5G04060.1,0.151218358
AT5G47950.1,0.261088826
AT5G40810.2,0.256428269
AT3G43570.1,0.104995682
AT1G07993.1,0.056018087
AT1G77480.2,0.175071606
AT1G35143.1,0.20417451
AT5G58540.3,0.178535183
AT2G16700.3,0.114169221
AT2G44065.3,0.103555349
AT3G01360.1,0.115465724
AT5G53110.1,0.139184112
AT5G44230.2,0.093977688
AT1G61130.1,0.24539526
AT5G08860.1,0.143575258
AT2G07780.1,0.105160175
AT2G14310.1,0.270393205
AT4G08065.1,0.250026519
AT5G18500.1,0.077118719
AT4G22560.1,0.096864827
AT5G15025.1,0.11397652
AT1G20450.1,0.083053302
AT2G02023.1,0.30412187
AT4G25300.2,0.081185686
AT4G32870.1,0.093314428
AT5G04510.3,0.062368328
AT4G20520.1,0.221510459
AT3G05670.2,0.115442998
AT5G54320.1,0.107938795
AT1G16640.1,0.218815489
AT3G48201.1,0.168231681
AT3G03990.1,0.261786119
AT3G04105.1,0.126120413
AT5G18820.2,0.23479043
AT3G57680.2,0.21860235
AT2G20465.1,0.060813973
AT1G60835.1,0.09398043
AT5G34770.1,0.19294978
AT1G05680.1,0.23324766
AT3G29290.1,0.129291948
AT5G07955.1,0.189690647
AT4G03100.1,0.130156664
AT4G27660.1,0.117150927
AT3G28685.1,0.210501469
AT1G27860.1,0.283756508
AT3G04440.2,0.339087619
AT2G27650.1,0.122921619
AT3G04620.1,0.296234661
AT5G03370.1,0.051368181
AT4G28410.2,0.223843425
AT1G62170.2,0.175534235
AT5G24200.2,0.263285194
AT1G02800.1,0.117789706
AT4G04740.4,0.053332258
AT5G48640.4,0.291132676
AT4G09589.1,0.104024864
AT3G02105.1,0.060481898
AT5G16500.1,0.161285953
AT3G49960.1,0.108615935
AT1G68850.1,0.260467562
AT1G23200.1,0.085461534
AT1G09733.1,0.252602198
AT4G37685.1,0.142026179
AT3G09045.1,0.233856643
AT1G03475.1,0.38792441
AT1G09105.2,0.109041179
AT2G25490.1,0.098766475
AT2G20270.1,0.155805654
AT1G60780.1,0.167879029
AT5G03944.1,0.253110829
AT2G33840.1,0.221253181
AT2G04180.1,0.285426329
AT3G03920.1,0.212370277
AT1G73885.1,0.347625906
AT1G51030.1,0.342015813
AT4G00955.1,0.162724615
AT1G77910.1,0.231196084
AT1G36270.1,0.356031681
AT3G07995.1,0.208018699
AT4G14420.1,0.068193786
AT1G08797.1,0.126725366
AT1G07843.1,0.271393039
AT5G02640.1,0.205439525
AT3G62410.1,0.104411775
AT2G16145.1,0.180984184
AT1G04443.1,0.203936884
AT4G21610.2,0.100434676
AT3G30885.1,0.092156915
AT4G17430.1,0.0892885
AT5G04495.1,0.140193537
AT5G07315.1,0.072407505
AT1G23720.2,0.074457623
AT3G28020.1,0.283072537
AT5G46750.1,0.067132966
AT2G43040.1,0.117666732
AT4G07460.1,0.083712471
AT4G22890.1,0.058517223
AT5G04710.1,0.193496291
AT2G41720.3,0.15612033
AT1G27660.1,0.108207081
AT5G39240.1,0.226019769
AT3G18827.1,0.15863679
AT3G50290.1,0.127067091
AT4G02055.1,0.062039378
AT2G39730.2,0.201759053
AT1G63300.1,0.076146094
AT5G56605.1,0.08432557
AT2G07665.1,0.167544784
AT2G43890.1,0.07966603
AT1G28591.1,0.179223412
AT4G34440.1,0.077209849
AT1G29410.2,0.057211324
AT4G02400.1,0.089852049
AT1G09470.2,0.055436221
AT1G23970.2,0.209648868
AT2G34270.1,0.11194547
AT5G08890.1,0.065390089
AT5G48690.3,0.094076943
AT5G22150.1,0.086725759
AT5G20830.1,0.174255002
AT4G39840.1,0.157781673
AT4G00590.2,0.078657482
AT4G20330.1,0.098325408
AT4G29430.1,0.071041131
AT1G15030.1,0.133953074
ATMG00950.1,0.203396137
AT2G05000.1,0.212790275
AT4G09795.1,0.142315141
AT5G37872.1,0.162471775
AT1G64170.1,0.095686267
AT2G45600.1,0.175380335
AT1G50600.2,0.171213567
AT5G47260.1,0.065331372
AT4G13340.1,0.201028605
AT2G28815.1,0.286488637
AT2G04955.1,0.060457876
AT5G02505.1,0.196791136
AT2G29930.1,0.08460761
AT1G16350.1,0.357791846
AT3G28360.1,0.195403225
AT4G24200.2,0.106567792
AT4G17005.1,0.22870544
AT4G08333.1,0.130735521
AT2G47030.1,0.120345503
AT2G44740.1,0.226386396
AT5G45905.1,0.14074603
AT2G25440.1,0.210058303
AT2G29735.1,0.200089897
AT1G26225.1,0.062691218
AT4G08165.1,0.058860953
AT4G07700.1,0.180817593
AT2G33860.1,0.123772848
AT1G30500.2,0.222532123
AT5G11370.1,0.109852064
AT3G42590.1,0.078745046
AT3G24300.1,0.176389952
AT2G40860.3,0.138529143
AT2G06925.1,0.263711647
AT2G36490.1,0.122488628
AT3G33069.1,0.179886074
AT5G42720.1,0.256842964
AT2G33030.1,0.175407699
AT5G49800.1,0.281237297
AT2G26910.1,0.154768722
AT5G43930.3,0.068353014
ATCG00130.1,0.197890155
AT4G19770.1,0.177896392
AT1G12590.1,0.163411331
AT4G14020.1,0.099235108
AT3G30580.1,0.071034778
AT1G72440.1,0.072837056
AT5G24000.1,0.09025332
ATCG01200.1,0.110429543
AT1G53600.1,0.202525641
AT1G67785.1,0.276626007
AT1G02530.2,0.09679845
AT3G15640.1,0.302747804
AT5G66360.2,0.13466396
AT5G20750.1,0.120105225
AT3G02350.1,0.091767633
AT3G08410.1,0.114881764
AT1G07051.1,0.141412021
AT3G45650.2,0.06279347
AT1G68930.1,0.240915204
AT4G11580.1,0.106174643
AT3G04175.1,0.150156152
AT5G57200.1,0.294821014
AT3G02095.1,0.228479483
AT5G56070.1,0.09941761
AT3G44470.2,0.085175313
AT1G17820.1,0.072741321
AT3G22740.1,0.086447825
AT4G05580.1,0.141628974
AT3G46180.2,0.137380786
AT4G21595.1,0.181054972
AT5G11490.3,0.153462836
AT1G13040.2,0.336836829
AT4G18593.2,0.152931018
AT3G26170.1,0.078887698
AT4G14450.1,0.12786064
AT3G05325.1,0.159791847
AT3G17265.1,0.112421557
AT1G79190.1,0.107227803
AT4G24320.1,0.12245511
AT5G22140.1,0.056778296
AT1G60810.2,0.180883153
AT1G50960.1,0.209992942
AT1G37012.1,0.114207813
AT1G02065.2,0.075018381
AT1G14190.2,0.45235719
AT3G25070.2,0.092191955
AT4G19070.1,0.149122162
AT4G06630.1,0.282139836
AT5G39995.1,0.08914059
AT3G03830.1,0.076445111
AT1G04190.1,0.088251148
AT2G36950.1,0.271658938
AT2G03270.1,0.152801482
AT3G18310.1,-0.457322164
AT5G46240.1,-0.051005069
AT2G38310.1,-0.0819596
AT5G05185.1,-0.10022609
AT1G09943.1,-0.160652616
AT3G13820.1,-0.175941709
AT2G09180.1,-0.148303327
AT5G05445.1,-0.150129213
AT1G58010.1,-0.13647674
AT1G53903.1,-0.137664003
AT1G05597.1,-0.053420361
AT2G07719.1,-0.071006942
AT3G52760.1,-0.400919412
AT5G52750.2,-0.097435833
AT3G08315.1,-0.055805835
AT2G36060.1,-0.222867802
AT3G02135.1,-0.136354222
AT3G36659.1,-0.221387594
AT4G03635.1,-0.171150933
AT4G22320.2,-0.381337091
AT3G62620.4,-0.219454903
AT1G06827.1,-0.092005429
AT4G34970.1,-0.104956938
AT5G34839.1,-0.068584937
AT4G32050.1,-0.054149337
AT1G17140.1,-0.057149267
AT5G26030.1,-0.164179317
AT3G51880.1,-0.457820771
AT2G47470.1,-0.165036557
AT5G49240.1,-0.218082526
AT3G27500.1,-0.144511598
AT2G03620.2,-0.186512854
AT3G50840.3,-0.223663624
AT5G05985.1,-0.22920331
AT1G08357.1,-0.126579242
AT1G23160.1,-0.14117963
AT5G36310.1,-0.12232191
AT5G23395.1,-0.059049914
AT4G32070.1,-0.604874071
AT3G51370.1,-0.055663344
AT1G01740.3,-0.123615359
AT1G65830.1,-0.222489913
AT4G23150.1,-0.386942676
AT3G27480.1,-0.231441111
AT1G68490.1,-0.150715695
AT1G18970.1,-0.239037203
AT3G43723.1,-0.178684312
AT1G22210.1,-0.25711951
AT5G28920.1,-0.103471646
AT4G26790.1,-0.137696108
AT4G07498.1,-0.16088489
AT5G59720.1,-0.129157617
AT3G26250.1,-0.244454075
AT5G33433.1,-0.104723865
AT1G04817.1,-0.123614448
AT1G62720.1,-0.099980323
AT1G02570.1,-0.085379656
AT1G26790.1,-0.05000756
AT1G01350.1,-0.059833143
AT3G20541.1,-0.151161972
AT3G58930.1,-0.066417542
AT1G71830.1,-0.055787313
AT5G05970.2,-0.141205425
AT1G17710.1,-0.266036788
AT5G19880.1,-0.240576659
AT5G06515.1,-0.178802029
AT2G32415.3,-0.065240842
AT1G03120.2,-0.149607369
AT1G43130.2,-0.357540108
AT2G35310.1,-0.126682336
AT5G64760.3,-0.545247426
AT2G34655.1,-0.115742897
AT4G40042.1,-0.104561267
AT5G42620.1,-0.056079606
AT2G23850.1,-0.068413501
AT2G24850.1,-0.192759733
AT4G03555.1,-0.213589082
AT5G43935.1,-0.215685726
ATMG01190.1,-0.175114959
AT1G64160.1,-0.189626465
AT1G51600.1,-0.436692728
AT2G34010.2,-0.233252828
AT3G49750.1,-0.258120828
AT1G35040.1,-0.158255611
AT3G04815.1,-0.128302815
AT1G74250.1,-0.067657799
AT1G32510.1,-0.090057824
AT5G63905.1,-0.290912731
AT3G05955.1,-0.120607601
AT4G37340.1,-0.097783535
AT3G42190.1,-0.224934799
AT3G57930.2,-0.127200741
AT5G36030.1,-0.258416747
AT1G17280.6,-0.190239601
AT3G42083.1,-0.137034465
AT5G21150.1,-0.255675154
AT5G03545.1,-0.193833337
AT2G47680.1,-0.114238095
AT5G61040.1,-0.188918256
AT2G08205.1,-0.069289274
AT1G08955.1,-0.172166909
AT5G05240.1,-0.07684229
AT5G25950.1,-0.127302192
AT1G02180.1,-0.165396565
AT1G49370.1,-0.118812908
AT1G09610.1,-0.054851324
AT1G09823.1,-0.104524556
AT1G21600.1,-0.409087996
AT4G00280.1,-0.202209133
AT4G18280.1,-0.426404643
AT2G05335.1,-0.241393798
AT2G13270.1,-0.17600747
AT2G47585.1,-0.11869858
AT4G32960.1,-0.417282368
AT5G65170.1,-0.369218837
AT4G36515.1,-0.078836153
AT2G33170.1,-0.195603989
AT5G53920.1,-0.12121084
AT1G53345.1,-0.141610551
AT5G00455.1,-0.091798652
AT5G03325.1,-0.056512787
AT2G35600.3,-0.096289132
AT5G55460.1,-0.149326744
AT3G21160.2,-0.077529014
AT1G76065.1,-0.24208052
AT1G73970.2,-0.105133999
AT4G24805.1,-0.21011378
AT2G34570.1,-0.244243268
AT5G17760.2,-0.227360778
AT2G37050.4,-0.12671816
AT3G10114.1,-0.208159251
AT4G12570.1,-0.109483819
AT3G33595.1,-0.221840651
AT5G47300.1,-0.147228469
AT3G01595.1,-0.109943619
AT3G62710.1,-0.170578165
AT2G37450.3,-0.179533813
AT3G59960.2,-0.292813518
AT1G23300.1,-0.11544049
AT3G44757.1,-0.165142798
AT4G27550.1,-0.081223487
AT5G55270.1,-0.13282218
AT2G35030.1,-0.320348625
AT5G31637.1,-0.105076385
AT1G54180.2,-0.213000508
AT2G09953.1,-0.284522041
AT4G07470.1,-0.138948394
AT4G33050.5,-0.116192579
AT2G04715.1,-0.1681555
AT3G27473.1,-0.138246919
AT1G72630.1,-0.175389681
AT4G24820.1,-0.115844039
AT4G24690.1,-0.082780613
AT4G32285.2,-0.307016154
AT5G36659.1,-0.186369494
AT4G20700.2,-0.078156576
AT3G03140.1,-0.240152716
AT5G07320.1,-0.059388245
AT1G36495.1,-0.097026256
AT4G06915.1,-0.463785774
AT2G02690.2,-0.104846875
AT1G16025.1,-0.211926321
AT4G21240.1,-0.279945476
AT1G20390.1,-0.145346163
AT5G03195.1,-0.244667443
AT3G18090.3,-0.08595598
AT1G09813.1,-0.116873414
AT2G21800.3,-0.226992273
AT3G25830.1,-0.190296601
AT1G80520.1,-0.181172302
AT3G05135.1,-0.219280947
AT1G23560.1,-0.140748441
ATMG00340.1,-0.083202022
AT2G29165.1,-0.224814184
AT1G54930.2,-0.289273003
AT1G45190.1,-0.156856942
AT3G14730.1,-0.237584264
AT3G23980.1,-0.096502763
AT5G02450.1,-0.095888321
AT2G05675.1,-0.166380196
AT4G21710.1,-0.165347975
AT2G26270.1,-0.19380505
AT5G48820.1,-0.139088916
AT5G39863.1,-0.186592573
AT4G39200.1,-0.178904092
AT2G07530.1,-0.194113446
AT1G70190.1,-0.092380218
AT5G02605.1,-0.207332969
AT2G13145.1,-0.170755712
AT1G08753.1,-0.177611216
AT1G24170.1,-0.172722078
AT4G04435.1,-0.141329621
AT3G26310.1,-0.175269971
AT5G52355.1,-0.103038883
AT1G13210.1,-0.190383475
AT5G43140.2,-0.071324523
AT3G52742.1,-0.190662784
AT3G10030.2,-0.211819862
AT5G46850.2,-0.103126178
AT1G61240.6,-0.175377288
AT5G33226.1,-0.106435537
AT3G09860.1,-0.233326402
AT4G14400.1,-0.13188678
AT1G51405.1,-0.199144302
AT1G05697.1,-0.100772592
AT5G66550.2,-0.217924682
AT5G47090.1,-0.209698115
AT3G08055.1,-0.384515461
AT5G12235.1,-0.118441515
AT4G21630.1,-0.179387795
AT3G63530.2,-0.062040418
AT5G06030.1,-0.1929426
AT5G64400.1,-0.209824167
AT1G09065.1,-0.168902459
AT5G53120.6,-0.056265132
AT4G23885.1,-0.131476324
AT5G41491.1,-0.060624094
AT5G56470.1,-0.13240113
AT5G47360.1,-0.134312863
AT2G37910.1,-0.144010705
AT4G29990.1,-0.084674622
ATMG01100.1,-0.180636837
AT3G14130.2,-0.069585342
AT1G52600.1,-0.112478662
AT3G54340.1,-0.187290062
AT2G36840.1,-0.244650755
AT1G05493.1,-0.202963591
AT3G10572.2,-0.144507076
AT4G29010.1,-0.188661771
AT5G09370.2,-0.1062654
AT3G41762.1,-0.171510815
AT4G11945.1,-0.106092509
AT5G33389.1,-0.275022611
AT3G55795.1,-0.165040735
AT1G65070.3,-0.204706727
AT1G29195.1,-0.142405623
AT1G62570.1,-0.217971763
AT1G16970.1,-0.088848862
AT4G33880.1,-0.115615299
AT1G33260.1,-0.099543727
AT5G03925.1,-0.11419897
AT5G55260.2,-0.143329733
AT4G11030.1,-0.167586108
AT4G21400.8,-0.200614093
AT5G61120.2,-0.118696864
AT5G28390.1,-0.108619708
AT3G62060.2,-0.1048449
AT3G59580.2,-0.47953999
AT5G36730.1,-0.203828348
AT1G35146.1,-0.147831214
AT2G36610.1,-0.219862173
AT5G43790.1,-0.069457174
AT2G35350.1,-0.201510905
AT5G01990.1,-0.218758228
AT1G64583.2,-0.315863705
AT5G59600.1,-0.167337902
AT1G27490.1,-0.133463977
AT1G66770.1,-0.130721039
AT4G03640.1,-0.114227869
AT1G06287.1,-0.176900346
AT5G39930.1,-0.194551628
AT5G23690.1,-0.073972475
AT3G56750.1,-0.184273865
AT5G52250.1,-0.099001287
AT3G52285.1,-0.2330135
AT1G57370.1,-0.146386895
AT1G61760.1,-0.07743421
ATCG00740.1,-0.112017891
AT1G63820.1,-0.0896587
AT2G18070.1,-0.117597275
AT2G08110.1,-0.230427643
AT1G08125.2,-0.223665097
AT1G47657.1,-0.112900657
AT1G30570.1,-0.200356882
AT3G30846.1,-0.201645967
AT2G09150.1,-0.121704304
AT2G13690.1,-0.272892897
AT2G47270.1,-0.179005188
AT1G04990.3,-0.168690826
AT1G48440.1,-0.273267149
AT5G16080.1,-0.157014759
AT3G08370.1,-0.089477498
AT5G05665.1,-0.174579415
AT2G33780.1,-0.407522919
AT2G36580.1,-0.054897859
AT1G72500.2,-0.052151794
AT4G14840.1,-0.115528685
AT3G02955.1,-0.215398799
AT5G35650.1,-0.146679844
AT3G49760.1,-0.322071943
AT3G02510.2,-0.086385235
AT1G78950.2,-0.116114427
AT3G05970.1,-0.258501634
AT1G10455.1,-0.121554352
AT1G62790.1,-0.228542641
AT5G58930.1,-0.210415663
AT1G15810.1,-0.149209783
AT3G53720.2,-0.07895403
AT5G04025.1,-0.16194574
AT5G25750.1,-0.665834225
AT5G35920.1,-0.234396999
AT1G05823.1,-0.251328108
AT2G04940.1,-0.195636704
AT4G13245.1,-0.227743849
AT1G50530.1,-0.132936167
AT5G51050.1,-0.208709255
AT5G09670.1,-0.267141967
AT5G50690.2,-0.166053282
AT4G18750.1,-0.055997637
AT1G16410.1,-0.057464547
AT5G45740.1,-0.219023845
AT5G60410.1,-0.145256712
AT5G48650.1,-0.110613541
AT5G40390.1,-0.206606804
AT4G04110.1,-0.083889721
AT2G42470.1,-0.10520143
AT2G46150.1,-0.150654057
AT2G39170.1,-0.138785673
AT4G19310.1,-0.074365269
AT2G46950.2,-0.169650854
AT5G51520.1,-0.079330981
AT5G34686.1,-0.087650217
AT5G11325.1,-0.27937891
AT4G35130.1,-0.223025151
AT2G00370.1,-0.123863236
AT4G08033.1,-0.167964817
AT4G09295.1,-0.416561475
AT2G10205.1,-0.325247901
AT1G02140.1,-0.265781038
AT5G07925.1,-0.324447071
AT5G46590.1,-0.207076556
AT5G11790.2,-0.066564979
AT3G15604.1,-0.084330676
AT4G17900.2,-0.163819209
AT5G19675.1,-0.449654173
AT5G04690.2,-0.094808685
AT2G01031.1,-0.059674053
AT5G63290.1,-0.276261673
AT4G12010.1,-0.314534575
AT5G23940.1,-0.059766776
AT5G22950.1,-0.210136793
AT1G71870.1,-0.215085006
AT1G07483.1,-0.338503565
AT5G54380.1,-0.068098269
AT3G47820.1,-0.191942792
